record_id,dataset,start_time,end_time,delta_time_seconds,cpu_usage_avg_percent,ram_usage_avg_mb,ram_usage_avg_percent,gpu_usage_avg_percent,gpu_memory_avg_mb,pred_token_count,ref_token_count,rouge1_f1,rouge2_f1,rougeL_f1,bleu,exact_match,token_f1,token_precision,token_recall,token_overlap_count,normalized_edit_distance,char_f1,bert_score_f1,semantic_similarity
29,MultiArith,2025-10-21 12:13:23,2025-10-21 12:17:09,225.93,0.0,0.0,0.0,,,65,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.00421940928270037,0.13333333333333333,0.7637004256248474,0.18091316521167755
30,MultiArith,2025-10-21 12:17:09,2025-10-21 12:20:09,180.2896,0.0,0.0,0.0,,,49,2,0.023529411764705882,0.0,0.023529411764705882,5.9825138229219476e-232,0.0,0.039215686274509796,0.02040816326530612,0.5,1,0.006976744186046546,0.15,0.7776538729667664,0.16815800964832306
31,MultiArith,2025-10-21 12:20:09,2025-10-21 12:24:04,234.4713,0.0,0.0,0.0,,,82,2,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0,0.005586592178770999,0.13333333333333333,0.7691273093223572,0.09197278320789337
32,MultiArith,2025-10-21 12:24:04,2025-10-21 12:26:20,136.4543,0.0,0.0,0.0,,,42,2,0.037037037037037035,0.0,0.037037037037037035,6.630398171726777e-232,0.0,0.04545454545454545,0.023809523809523808,0.5,1,0.010638297872340385,0.15,0.7817322611808777,0.14362271130084991
33,MultiArith,2025-10-21 12:26:20,2025-10-21 12:28:08,107.4842,0.0,0.0,0.0,,,38,2,0.04878048780487806,0.0,0.04878048780487806,7.156422969333831e-232,0.0,0.05,0.02631578947368421,0.5,1,0.010204081632653073,0.10256410256410256,0.7825812101364136,0.13034658133983612
34,MultiArith,2025-10-21 12:28:08,2025-10-21 12:31:59,231.2866,0.0,0.0,0.0,,,44,2,0.021052631578947368,0.0,0.021052631578947368,5.704925649051987e-232,0.0,0.04347826086956522,0.022727272727272728,0.5,1,0.005649717514124242,0.15384615384615383,0.7591432332992554,0.0758761540055275
35,MultiArith,2025-10-21 12:31:59,2025-10-21 12:35:53,233.8156,0.0,0.0,0.0,,,54,2,0.026666666666666665,0.0,0.026666666666666665,6.054173467777274e-232,0.0,0.03571428571428571,0.018518518518518517,0.5,1,0.007352941176470562,0.125,0.7707626819610596,0.20593445003032684
36,MultiArith,2025-10-21 12:35:53,2025-10-21 12:39:47,234.0886,0.0,0.0,0.0,,,47,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.00439560439560438,0.10256410256410256,0.7696658968925476,0.1134580746293068
37,MultiArith,2025-10-21 12:39:47,2025-10-21 12:41:38,111.4436,0.0,0.0,0.0,,,34,2,0.05128205128205127,0.0,0.05128205128205127,7.199666163340923e-232,0.0,0.05555555555555555,0.029411764705882353,0.5,1,0.015706806282722474,0.16666666666666666,0.7968201637268066,0.2988166809082031
38,MultiArith,2025-10-21 12:41:38,2025-10-21 12:45:32,233.7406,0.0,0.0,0.0,,,68,2,0.02197802197802198,0.0,0.02197802197802198,5.882492291217442e-232,0.0,0.028571428571428574,0.014705882352941176,0.5,1,0.005847953216374324,0.13333333333333333,0.7693355679512024,0.05343698710203171
