record_id,dataset,start_time,end_time,delta_time_seconds,cpu_usage_avg_percent,ram_usage_avg_mb,ram_usage_avg_percent,gpu_usage_avg_percent,gpu_memory_avg_mb,pred_token_count,ref_token_count,rouge1_f1,rouge2_f1,rougeL_f1,bleu,exact_match,token_f1,token_precision,token_recall,token_overlap_count,normalized_edit_distance,char_f1,bert_score_f1,semantic_similarity
41,StrategyQA,2025-10-21 20:23:54,2025-10-21 20:27:59,244.7926,0.0,0.0,0.0,,,98,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.10500234365463257
42,StrategyQA,2025-10-21 20:27:59,2025-10-21 20:30:18,139.389,0.0,0.0,0.0,,,64,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.023303724825382233
43,StrategyQA,2025-10-21 20:30:18,2025-10-21 20:34:24,246.1477,0.0,0.0,0.0,,,89,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0521574430167675
44,StrategyQA,2025-10-21 20:34:24,2025-10-21 20:37:16,171.8725,0.0,0.0,0.0,,,70,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.006683515850454569
45,StrategyQA,2025-10-21 20:37:16,2025-10-21 20:40:43,206.4702,0.0,0.0,0.0,,,64,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03033500351011753
46,StrategyQA,2025-10-21 20:40:43,2025-10-21 20:44:50,247.1728,0.0,0.0,0.0,,,94,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.037297461181879044
47,StrategyQA,2025-10-21 20:44:50,2025-10-21 20:48:54,244.0603,0.0,0.0,0.0,,,100,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.044183399528265
48,StrategyQA,2025-10-21 20:48:54,2025-10-21 20:51:31,157.4263,0.0,0.0,0.0,,,62,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.035402920097112656
49,StrategyQA,2025-10-21 20:51:31,2025-10-21 20:55:02,211.0408,0.0,0.0,0.0,,,82,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.012213482521474361
50,StrategyQA,2025-10-21 20:55:02,2025-10-21 20:58:45,222.9627,0.0,0.0,0.0,,,76,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.037711553275585175
