group,metric,higher_is_better,n,scot,mgcot,delta,ci_low,ci_high,rel_change_pct,p,effect_rb,discordant_scot_only,discordant_mgcot_only,favours,p_fdr,significant
StrategyQA,bert_score_f1,True,300,0.7685989244778951,0.7735066999991734,0.004907775521278381,0.0028373179535071055,0.007035295536120732,0.6385353095064771,0.00010974114225820309,0.2585127157639559,,,MGCoT,0.00015677306036886157,True
SVAMP,bert_score_f1,True,300,0.7558313822746277,0.7614745664596557,0.005643184185028076,0.003714139699935913,0.007676224852601686,0.7466194600236449,2.0180995808186948e-07,0.3468004459308807,,,MGCoT,3.363499301364491e-07,True
aqua,char_f1,True,300,0.04513117890594236,0.047138369156547566,0.0020071902506052126,0.0008084841553296143,0.0031835604631785916,4.447458052864931,3.512585072314994e-14,0.5300312432665374,,,MGCoT,1.756292536157497e-13,True
asdiv,char_f1,True,300,0.07185492107258241,0.07712299414830101,0.005268073075718591,0.001711456250020282,0.009006713245226656,7.331541106832727,0.006139997320099053,0.18858686050326848,,,MGCoT,0.0068222192445545025,True
clutrr,char_f1,True,300,0.5307648310918385,0.5612899081482517,0.030525077056413396,0.018991384601388897,0.04264376100669238,5.751149147094041,1.4901179502492507e-05,0.2948848238482385,,,MGCoT,2.4835299170820846e-05,True
date,char_f1,True,300,0.26770346232175113,0.3592030107949376,0.09149954847318646,0.0733880720221238,0.1097475971002389,34.17944156553856,5.207745265900321e-17,0.5611370980498497,,,MGCoT,5.20774526590032e-16,True
gsm8k,char_f1,True,300,0.8233738396056121,0.8180320886633784,-0.00534175094223362,-0.010729666559661432,1.459899498352046e-05,-0.6487637431852664,0.2100471447617187,-0.08565820144767514,,,SCoT,0.2100471447617187,False
MultiArith,char_f1,True,300,0.11647452526283933,0.12324306027123086,0.006768535008391564,0.004126028422077315,0.00939587676504353,5.811172007885431,5.661432183594595e-09,0.40170310116929336,,,MGCoT,1.4153580458986489e-08,True
QASports,char_f1,True,300,0.026035655735964256,0.014755754075001626,-0.011279901660962637,-0.014826657296989374,-0.007588389700110189,-43.32482260234063,9.226060895291778e-12,-0.5761025817951814,,,SCoT,3.075353631763926e-11,True
saycan,char_f1,True,300,0.6767537292017689,0.6548202725913408,-0.021933456610428028,-0.029740980327105124,-0.014270221116555484,-3.2409805316179847,6.594830247568268e-08,-0.36915715863084286,,,SCoT,1.3189660495136536e-07,True
StrategyQA,char_f1,True,300,0.21583060890460218,0.22662946936204734,0.010798860457445152,0.005965205262862173,0.015828014786117114,5.003396187525136,0.0010370675256810597,0.22377622377622378,,,MGCoT,0.0012963344071013246,True
SVAMP,char_f1,True,300,0.11942770409222547,0.12615516217993397,0.006727458087708505,0.003537624544550652,0.01011578272131811,5.633079978254769,1.8527684510918444e-05,0.2946922086772166,,,MGCoT,2.646812072988349e-05,True
aqua,cpu_usage_avg_percent,False,300,15.72041511378423,16.56433099464601,0.84391588086178,0.47039137261296615,1.246341275176697,5.368279875267442,2.6757042664771855e-08,0.37045404208194904,,,SCoT,3.344630333096482e-08,True
asdiv,cpu_usage_avg_percent,False,300,11.58023284974543,12.17254761269914,0.5923147629537099,0.3864563619196273,0.8095010163039238,5.114877832242646,7.679781842763413e-13,0.47738648947951273,,,SCoT,2.5599272809211378e-12,True
clutrr,cpu_usage_avg_percent,False,300,12.362539383154383,12.72505530310684,0.36251591995245797,0.09476594557217752,0.6470943370339629,2.9323742373386046,0.0007862026626218702,0.22365448504983387,,,SCoT,0.0007862026626218701,True
date,cpu_usage_avg_percent,False,300,12.64360486534542,12.885229887098431,0.24162502175300876,0.034784115434122805,0.4454318010804751,1.9110453413114286,7.660476235001307e-05,0.26343300110741974,,,SCoT,8.511640261112563e-05,True
gsm8k,cpu_usage_avg_percent,False,300,11.80315106093246,12.621022200991796,0.8178711400593333,0.6390370585560141,0.9832270296057627,6.929260973083916,1.4911647187603968e-22,0.6508970099667775,,,SCoT,7.455823593801984e-22,True
MultiArith,cpu_usage_avg_percent,False,300,11.152150577952785,11.674665999919254,0.5225154219664678,0.3933094939066836,0.6471882234839124,4.685333275533899,2.1528238591582607e-11,0.44598006644518273,,,SCoT,5.382059647895652e-11,True
QASports,cpu_usage_avg_percent,False,300,11.794781044583805,12.343882721661776,0.5491016770779719,0.3805850786876389,0.7225257342377103,4.65546308153063,7.589396131396007e-10,0.4098781838316722,,,SCoT,1.2648993552326679e-09,True
saycan,cpu_usage_avg_percent,False,300,12.504770032814491,13.095314107709834,0.5905440748953422,0.3773466780473055,0.8109338807607565,4.7225504615091785,1.0181171909400787e-08,0.3815282392026578,,,SCoT,1.4544531299143982e-08,True
StrategyQA,cpu_usage_avg_percent,False,300,10.948182667983186,11.698280493308284,0.7500978253250974,0.6295783457431008,0.8806091844964611,6.851345543572998,5.482039527790419e-24,0.6728239202657808,,,SCoT,5.482039527790419e-23,True
SVAMP,cpu_usage_avg_percent,False,300,13.478654222420897,14.116522558699783,0.6378683362788863,0.17077946120611212,1.048377190383058,4.7324334147383365,4.6516824160019503e-10,0.41501661129568107,,,SCoT,9.303364832003901e-10,True
aqua,delta_time_seconds,False,300,140.27986566666664,131.41454766666666,-8.865318,-13.099266350000002,-4.808070483333337,-6.319736590756217,0.9031399375360727,-0.008106312292358805,,,MGCoT,0.9031399375360728,False
asdiv,delta_time_seconds,False,300,77.43678233333333,85.12138433333334,7.684602000000002,1.4107279833333335,14.02210954999999,9.923710371798467,0.004350817504863144,0.18994462901439646,,,SCoT,0.01450272501621048,True
clutrr,delta_time_seconds,False,300,73.08567966666666,75.082797,1.9971173333333323,-5.625188316666666,9.056724266666654,2.732569967799299,0.325668233639719,0.06547065337763013,,,SCoT,0.3618535929330211,False
date,delta_time_seconds,False,300,92.82138433333334,63.57268166666666,-29.248702666666667,-36.573592641666664,-21.976573383333335,-31.510737398217284,4.3813017536731234e-13,-0.4824806201550388,,,MGCoT,4.3813017536731235e-12,True
gsm8k,delta_time_seconds,False,300,129.9846676666667,123.14977933333333,-6.834888333333335,-11.190976658333332,-2.688362158333335,-5.2582265708912335,0.13986076140726855,-0.09833887043189368,,,MGCoT,0.19980108772466937,False
MultiArith,delta_time_seconds,False,300,90.53467833333333,85.94168133333334,-4.592996999999999,-10.537024841666664,1.3781727083333308,-5.0731908309094145,0.25770277350078186,-0.07539313399778516,,,MGCoT,0.3221284668759773,False
QASports,delta_time_seconds,False,300,104.729129,70.72668666666667,-34.002442333333335,-41.793119749999995,-25.855836650000004,-32.467034394350144,1.8187773629444225e-12,-0.46945736434108526,,,MGCoT,9.093886814722113e-12,True
saycan,delta_time_seconds,False,300,101.41776999999999,89.76672366666666,-11.651046333333337,-19.206377675000002,-4.0177488416666725,-11.488170498457357,0.051758392012253004,-0.12956810631229235,,,MGCoT,0.12939598003063252,False
StrategyQA,delta_time_seconds,False,300,130.400411,116.45034733333334,-13.950063666666665,-19.777594966666662,-8.195997433333334,-10.697867866893967,0.0765762132059463,-0.11796234772978959,,,MGCoT,0.1390843666487542,False
SVAMP,delta_time_seconds,False,300,101.11434333333334,95.52864066666666,-5.585702666666665,-11.29254015,-0.05599353333333663,-5.524144728164677,0.08345061998925252,-0.11530454042081949,,,MGCoT,0.1390843666487542,False
aqua,gpu_memory_avg_mb,False,300,3348.9469819278816,3368.23234959784,19.285367669957928,2.7946510362593444,39.706227243822674,0.5758636303897519,0.0234375,0.7575757575757576,,,SCoT,0.13671875,False
asdiv,gpu_memory_avg_mb,False,300,3549.872139899844,3553.258753087536,3.3866131876923706,0.6863980724438639,6.760396887156295,0.09540099063364915,0.02734375,0.7818181818181819,,,SCoT,0.13671875,False
clutrr,gpu_memory_avg_mb,False,300,3553.28515625,3553.28515625,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,False
date,gpu_memory_avg_mb,False,300,3553.611993429598,3553.621372638081,0.009379208483298195,-9.612057031972654e-05,0.02561732477390251,0.0002639345122832699,0.25,0.8,,,SCoT,0.8333333333333334,False
gsm8k,gpu_memory_avg_mb,False,300,3553.918521673625,3553.9267634114585,0.008241737832934935,-5.5455740025536215e-05,0.023205598072562072,0.00023190564957166503,0.625,0.4,,,SCoT,1.0,False
MultiArith,gpu_memory_avg_mb,False,300,3553.9519240993927,3553.9518229166665,-0.00010118272569646555,-0.00030354817708939664,0.0,-2.847048239745288e-06,1.0,-1.0,,,MGCoT,1.0,False
QASports,gpu_memory_avg_mb,False,300,3553.951904612598,3553.9518229166665,-8.169593088041437e-05,-0.0002450877926412431,0.0,-2.29873484709748e-06,1.0,-1.0,,,MGCoT,1.0,False
saycan,gpu_memory_avg_mb,False,300,3554.2185678891783,3554.2184982783083,-6.961086982452495e-05,-0.00023491753472171695,2.60849252481421e-05,-1.9585421800850668e-06,1.0,-0.3333333333333333,,,MGCoT,1.0,False
StrategyQA,gpu_memory_avg_mb,False,300,3554.2852526626875,3554.28515625,-9.641268726682029e-05,-0.00028923806180046084,0.0,-2.7125759586851636e-06,1.0,-1.0,,,MGCoT,1.0,False
SVAMP,gpu_memory_avg_mb,False,300,3554.2866030368286,3554.287251435006,0.0006483981768694017,-0.001156637244422503,0.002742276691428438,1.8242709417844977e-05,0.6602282859835059,0.125,,,SCoT,1.0,False
aqua,gpu_usage_avg_percent,False,300,6.476632020837801,7.536978830620086,1.060346809782284,0.7212874677770786,1.4904156906319197,16.37188597979232,3.090541552652801e-41,0.8959025470653378,,,SCoT,5.150902587754667e-41,True
asdiv,gpu_usage_avg_percent,False,300,6.08616814498794,9.000234375547139,2.914066230559199,2.44121388812698,3.4376003061342617,47.88014660684294,1.2250789541820447e-43,0.9227464008859357,,,SCoT,2.4501579083640893e-43,True
clutrr,gpu_usage_avg_percent,False,300,7.389584253638283,12.56099256202278,5.171408308384498,4.433507886141111,5.917924378756955,69.9823986151635,8.181288285150186e-38,0.8562126245847176,,,SCoT,9.090320316833541e-38,True
date,gpu_usage_avg_percent,False,300,5.798972399875384,10.329612627679648,4.5306402278042635,3.8891798796141908,5.175767442433173,78.128328872571,2.2406495365953408e-39,0.8745514950166113,,,SCoT,2.800811920744176e-39,True
gsm8k,gpu_usage_avg_percent,False,300,5.910782322759424,6.962235329402461,1.0514530066430368,0.9418496223681443,1.1725344604282966,17.788728280424483,5.696290666143039e-47,0.9587596899224806,,,SCoT,5.696290666143039e-46,True
