level,group,metric,n,scot,mgcot,delta,ci_low,ci_high,rel_change_pct,p,effect_rb,discordant_scot_only,discordant_mgcot_only,favours,p_fdr,significant,ill_posed_dataset
dataset,asdiv,bert_score_f1,300,0.776867798169454,0.7857214162747065,0.008853618105252583,0.006603668923179308,0.011155831024050709,1.1396556951021146,2.4095657142420917e-10,0.4239486588479877,,,MGCoT,1.2707983561413771e-09,True,False
dataset,clutrr,bert_score_f1,300,0.8107410977284114,0.8170086705684662,0.00626757284005483,0.0033526312957207365,0.00924386543035507,0.7730671181732041,0.00046581196592989857,0.23668973308854682,,,MGCoT,0.0009564672367093918,True,False
dataset,date,bert_score_f1,300,0.7863154021898905,0.8217825414737066,0.03546713928381602,0.02823522926867008,0.04267800348003705,4.510548716843132,1.768871756336866e-15,0.5308807134894091,,,MGCoT,2.011462891673813e-14,True,False
dataset,gsm8k,bert_score_f1,300,0.8406639558076858,0.8364108951886495,-0.004253060619036356,-0.008345250318447751,-0.00013322665790717052,-0.5059168517520342,0.8035838440101605,0.016566998892580287,,,SCoT,0.878919829386113,False,False
dataset,saycan,bert_score_f1,300,0.782201625307401,0.7758924208084742,-0.006309204498926799,-0.007967276255289714,-0.004608224416772525,-0.8065956774824287,3.896778964836341e-12,-0.47350210764844913,,,SCoT,2.5645468401059678e-11,True,True
dataset,MultiArith,rougeL_f1,300,0.0186250608853786,0.029217479148000755,0.010592418262622154,0.00774990037699726,0.013469121755694887,56.87185844819233,4.5771367859963325e-07,0.34344754161827334,,,MGCoT,1.4211271472649904e-06,True,False
dataset,QASports,rougeL_f1,300,0.006243285130775184,0.0025765745700483535,-0.0036667105607268314,-0.004705633847189046,-0.0026339574870515624,-58.73046775730972,1.1900715044701794e-08,-0.4872995856602414,,,SCoT,4.591196294220379e-08,True,True
dataset,SVAMP,rougeL_f1,300,0.015051823306570894,0.021186808458451136,0.0061349851518802435,0.00262006038970694,0.010255581085099056,40.7590829823388,0.26504177172434773,0.08051470588235295,,,MGCoT,0.3435726670500804,False,False
dataset,StrategyQA,rougeL_f1,300,0.0002351047739390973,0.0003473652271306226,0.00011226045319152532,-0.000268223924322024,0.0005791175733876858,47.74911683443988,1.0,0.047619047619047616,,,MGCoT,1.0,False,False
dataset,aqua,rougeL_f1,300,0.007043680786561423,0.01007074939768468,0.0030270686111232583,0.0005655587947683394,0.006174797556942113,42.97566432735816,0.006464775240934867,0.2290329843521333,,,MGCoT,0.011086585602494092,True,False
dataset,asdiv,rougeL_f1,300,0.024832229251147784,0.04524790392166953,0.020415674670521754,0.013240407304730617,0.028147497252081932,82.2144257128188,0.04453636374620728,0.13610617371726508,,,MGCoT,0.06881698646373281,False,False
dataset,clutrr,rougeL_f1,300,0.054065443953479564,0.09577247520850458,0.04170703125502502,0.029976636885734785,0.05327814256738015,77.1417530408364,4.620438092207434e-05,0.28088459583121506,,,MGCoT,0.00010980670774690505,True,False
dataset,date,rougeL_f1,300,0.04813998921254916,0.19149474017812293,0.1433547509655738,0.11739411462015024,0.17059183313697746,297.78725195103283,7.919010489988198e-20,0.6091445758793294,,,MGCoT,1.6480102911597064e-18,True,False
dataset,gsm8k,rougeL_f1,300,0.25368911813203,0.24413300650337363,-0.009556111628656406,-0.022033917711990595,0.002635352609420173,-3.7668590986559467,0.4122443788068103,-0.054617940199335545,,,SCoT,0.49988688453739205,False,False
dataset,saycan,rougeL_f1,300,0.05887858873999794,0.03467741270760625,-0.024201176032391702,-0.028698201059961567,-0.019799231479260274,-41.103526002061145,8.784433165783447e-24,-0.6883123301210773,,,SCoT,2.505190199130835e-22,True,True
dataset,MultiArith,token_f1,300,0.03316822024133936,0.035692897494789,0.0025246772534496397,-0.000530995942199269,0.005515400910999937,7.611735676739738,0.2698485699912324,0.07553743513713862,,,MGCoT,0.34921579645924195,False,False
dataset,QASports,token_f1,300,0.009679811187734493,0.0007037753218236963,-0.008976035865910796,-0.010413107686185986,-0.0075729067587808245,-92.72945196787035,4.278257454787309e-20,-0.9863568215892053,,,SCoT,9.150717333850634e-19,True,True
