group,metric,higher_is_better,n,scot,mgcot,delta,ci_low,ci_high,rel_change_pct,p,effect_rb,discordant_scot_only,discordant_mgcot_only,favours,p_fdr,significant,scope
ALL,token_f1,True,3000,0.0678569212524216,0.06843529292429089,0.0005783716718692891,-0.0018982728176119843,0.0031409555724177065,0.8523399841820098,0.002330453158931711,-0.07824821774902549,,,MGCoT,0.002330453158931711,True,all 10 datasets
ALL,char_f1,True,3000,0.2893350456195127,0.3008390089390971,0.01150396331958446,0.008875260670076714,0.014345519892191875,3.976000658666368,0.00010956125437600129,0.08532636338701044,,,MGCoT,0.00010956125437600129,True,all 10 datasets
ALL,output_words,False,3000,129.103,101.32466666666667,-27.778333333333332,-30.15005833333333,-25.443316666666664,-21.516411960476,6.646657647338885e-102,-0.45684746420106626,,,MGCoT,6.646657647338885e-102,True,all 10 datasets
ALL,truncated,False,3000,0.214,0.4076666666666667,0.19366666666666665,0.17366666666666666,0.214,90.49844236760126,9.579097063692538e-72,0.5267452402538532,261.0,842.0,SCoT,9.579097063692538e-72,True,all 10 datasets
ALL,delta_time_seconds,False,3000,104.18047113333333,93.67552696666667,-10.504944166666668,-12.491412409999999,-8.511987888333335,-10.083410117451017,7.801883264360758e-14,-0.1575445962456959,,,MGCoT,7.801883264360758e-14,True,all 10 datasets
ALL,cpu_usage_avg_percent,False,3000,12.39884818187171,12.989685187984112,0.5908370061124055,0.5091450145446619,0.6735766528195153,4.7652572032962315,1.3411803122152432e-92,0.43026124625124956,,,SCoT,1.3411803122152432e-92,True,all 10 datasets
ALL,gpu_usage_avg_percent,False,3000,6.202755933166045,8.773728988477975,2.5709730553119305,2.417851733673556,2.7238299988338337,41.44888309348068,0.0,0.8921834943907586,,,SCoT,0.0,True,all 10 datasets
ALL,gpu_memory_avg_mb,False,3000,3533.032904548163,3535.3018946781563,2.2689901299929733,0.6604116325630273,4.336447614615457,0.06422216241099947,0.0017023696808130173,0.5098039215686274,,,SCoT,0.0017023696808130173,True,all 10 datasets
ALL,ram_usage_avg_mb,False,3000,11816.768082094357,11724.465429810112,-92.30265228424449,-100.74162158330843,-84.20086222008904,-0.7811158824730453,8.975736476130741e-205,-0.6436783294457403,,,MGCoT,8.975736476130741e-205,True,all 10 datasets
ALL,target_error,False,2999,0.44449927770069386,0.44308465862551033,-0.0014146190751834497,-0.00511788283229359,0.0022263833117758067,-0.31825002787428414,8.146491781108203e-06,0.09472577761528037,,,MGCoT,8.146491781108203e-06,True,all 10 datasets
ALL,answered,True,3000,0.6726666666666666,0.643,-0.029666666666666668,-0.043666666666666666,-0.015666666666666666,-4.410307234886026,3.7972163434570695e-05,-0.19389978213507625,274.0,185.0,SCoT,3.7972163434570695e-05,True,all 10 datasets
ALL,metric_leak,False,3000,0.0,0.3973333333333333,0.3973333333333333,0.38033333333333336,0.41533333333333333,,0.0,1.0,0.0,1192.0,SCoT,0.0,True,all 10 datasets
