record_id,dataset,start_time,end_time,delta_time_seconds,cpu_usage_avg_percent,ram_usage_avg_mb,ram_usage_avg_percent,gpu_usage_avg_percent,gpu_memory_avg_mb,pred_token_count,ref_token_count,rouge1_f1,rouge2_f1,rougeL_f1,bleu,exact_match,token_f1,token_precision,token_recall,token_overlap_count,normalized_edit_distance,char_f1,bert_score_f1,semantic_similarity
33,sports,2025-10-22 00:40:25,2025-10-22 00:45:39,314.325,0.0,0.0,0.0,,,79,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.06135852262377739
34,sports,2025-10-22 00:45:39,2025-10-22 00:51:15,335.6376,0.0,0.0,0.0,,,96,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.12574613094329834
35,sports,2025-10-22 00:51:15,2025-10-22 00:56:11,296.2186,0.0,0.0,0.0,,,93,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.08106549829244614
36,sports,2025-10-22 00:56:11,2025-10-22 01:00:47,276.3136,0.0,0.0,0.0,,,91,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.04567107558250427
37,sports,2025-10-22 01:00:47,2025-10-22 01:05:13,266.1254,0.0,0.0,0.0,,,94,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.07965609431266785
38,sports,2025-10-22 01:05:13,2025-10-22 01:09:09,236.2312,0.0,0.0,0.0,,,97,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.04114791005849838
39,sports,2025-10-22 01:09:09,2025-10-22 01:13:02,232.9323,0.0,0.0,0.0,,,95,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.052489638328552246
40,sports,2025-10-22 01:13:02,2025-10-22 01:16:55,232.5558,0.0,0.0,0.0,,,91,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03567449375987053
41,sports,2025-10-22 01:16:55,2025-10-22 01:19:44,169.1484,0.0,0.0,0.0,,,77,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.028807252645492554
42,sports,2025-10-22 01:19:44,2025-10-22 01:22:30,166.1687,0.0,0.0,0.0,,,73,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.042470626533031464
43,sports,2025-10-22 01:22:30,2025-10-22 01:26:24,233.3344,0.0,0.0,0.0,,,86,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.06799521297216415
44,sports,2025-10-22 01:26:24,2025-10-22 01:30:17,233.1358,0.0,0.0,0.0,,,95,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.13039715588092804
45,sports,2025-10-22 01:30:17,2025-10-22 01:34:10,233.1043,0.0,0.0,0.0,,,91,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0749068334698677
46,sports,2025-10-22 01:34:10,2025-10-22 01:37:53,222.9217,0.0,0.0,0.0,,,93,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.13397268950939178
47,sports,2025-10-22 01:37:53,2025-10-22 01:41:46,232.9969,0.0,0.0,0.0,,,90,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.08963657915592194
48,sports,2025-10-22 01:41:46,2025-10-22 01:45:39,233.4772,0.0,0.0,0.0,,,86,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0435534231364727
49,sports,2025-10-22 01:45:39,2025-10-22 01:49:32,233.1769,0.0,0.0,0.0,,,101,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.05756690725684166
50,sports,2025-10-22 01:49:32,2025-10-22 01:53:25,232.6428,0.0,0.0,0.0,,,101,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10507816821336746
