record_id,start_time,end_time,delta_time_seconds,cpu_usage_avg_percent,ram_usage_avg_mb,ram_usage_avg_percent,gpu_usage_avg_percent,gpu_memory_avg_mb,pred_token_count,ref_token_count,rouge1_f1,rouge2_f1,rougeL_f1,bleu,exact_match,token_f1,token_precision,token_recall,token_overlap_count,normalized_edit_distance,char_f1,bert_score_f1,semantic_similarity
17,2025-10-20 23:23:07,2025-10-20 23:27:06,239.39636635780334,0.0,0.0,0.0,,,95,3,0.03418803418803419,0.0,0.03418803418803419,5.60020361889364e-232,0.0,0.020408163265306124,0.010526315789473684,0.3333333333333333,1,0.03687315634218291,0.5,0.7947338223457336,0.3065512776374817
18,2025-10-20 23:27:20,2025-10-20 23:30:31,191.07036876678467,0.0,0.0,0.0,,,54,3,0.057971014492753624,0.0,0.057971014492753624,6.492476721861418e-232,0.0,0.03508771929824561,0.018518518518518517,0.3333333333333333,1,0.06393861892583119,0.5581395348837208,0.7991577982902527,0.34081822633743286
19,2025-10-20 23:30:44,2025-10-20 23:34:23,218.29547500610352,0.0,0.0,0.0,,,69,3,0.051948051948051945,0.0,0.051948051948051945,6.232719878487911e-232,0.0,0.027777777777777776,0.014492753623188406,0.3333333333333333,1,0.052980132450331174,0.5333333333333333,0.806615948677063,0.326941579580307
20,2025-10-20 23:34:37,2025-10-20 23:38:00,202.8849058151245,0.0,0.0,0.0,,,70,3,0.05063291139240506,0.0,0.02531645569620253,6.276156094153475e-232,0.0,0.0273972602739726,0.014285714285714285,0.3333333333333333,1,0.05043859649122806,0.6046511627906977,0.8019305467605591,0.33063459396362305
21,2025-10-20 23:38:18,2025-10-20 23:43:30,311.72725343704224,0.0,0.0,0.0,,,94,3,0.03333333333333333,0.0,0.03333333333333333,5.551288858995946e-232,0.0,0.020618556701030927,0.010638297872340425,0.3333333333333333,1,0.034682080924855474,0.5,0.7922623157501221,0.33287230134010315
22,2025-10-20 23:43:48,2025-10-20 23:46:57,188.61392426490784,0.0,0.0,0.0,,,65,3,0.056338028169014086,0.0,0.056338028169014086,0.0,0.0,0.029411764705882356,0.015384615384615385,0.3333333333333333,1,0.05868544600938963,0.5909090909090909,0.8005527257919312,0.32168862223625183
23,2025-10-20 23:47:12,2025-10-20 23:51:51,279.13784289360046,0.0,0.0,0.0,,,91,3,0.03389830508474576,0.0,0.03389830508474576,5.612774300937817e-232,0.0,0.02127659574468085,0.01098901098901099,0.3333333333333333,1,0.03714710252600295,0.5106382978723404,0.7890895009040833,0.2705366611480713
24,2025-10-20 23:52:14,2025-10-20 23:57:28,313.668594121933,0.0,0.0,0.0,,,71,3,0.0404040404040404,0.0,0.0404040404040404,5.898586811762746e-232,0.0,0.027027027027027032,0.014084507042253521,0.3333333333333333,1,0.041935483870967794,0.5306122448979592,0.7900714874267578,0.32209333777427673
25,2025-10-20 23:57:45,2025-10-21 00:03:08,322.85829997062683,0.0,0.0,0.0,,,76,3,0.04081632653061225,0.0,0.04081632653061225,0.0,0.0,0.02531645569620253,0.013157894736842105,0.3333333333333333,1,0.04081632653061229,0.52,0.7909080386161804,0.44261011481285095
26,2025-10-21 00:03:22,2025-10-21 00:07:57,274.5883650779724,0.0,0.0,0.0,,,87,3,0.017391304347826087,0.0,0.017391304347826087,0.0,0.0,0.0,0.0,0.0,0,0.039184952978056464,0.52,0.7873114943504333,0.2166624516248703
