record_id,start_time,end_time,delta_time_seconds,cpu_usage_avg_percent,ram_usage_avg_mb,ram_usage_avg_percent,gpu_usage_avg_percent,gpu_memory_avg_mb,pred_token_count,ref_token_count,rouge1_f1,rouge2_f1,rougeL_f1,bleu,exact_match,token_f1,token_precision,token_recall,token_overlap_count,normalized_edit_distance,char_f1,bert_score_f1,semantic_similarity
32,2025-10-20 18:52:49,2025-10-20 18:56:41,232.13189506530762,0.0,0.0,0.0,,,65,1,0.020833333333333332,0.0,0.020833333333333332,0.0,0.0,0.030303030303030307,0.015384615384615385,1.0,1,0.0,0.04878048780487806,0.7993038892745972,0.0003020325966645032
33,2025-10-20 18:56:45,2025-10-20 19:00:37,232.17909288406372,0.0,0.0,0.0,,,61,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.047619047619047616,0.7732264995574951,0.06700102984905243
34,2025-10-20 19:00:40,2025-10-20 19:02:56,136.2034249305725,0.0,0.0,0.0,,,41,1,0.034482758620689655,0.0,0.034482758620689655,0.0,0.0,0.047619047619047616,0.024390243902439025,1.0,1,0.004184100418409997,0.05405405405405406,0.7834070920944214,0.2171601951122284
35,2025-10-20 19:02:59,2025-10-20 19:06:52,232.48338723182678,0.0,0.0,0.0,,,82,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.05555555555555556,0.7982896566390991,0.037740498781204224
36,2025-10-20 19:06:55,2025-10-20 19:10:47,231.77549195289612,0.0,0.0,0.0,,,82,1,0.017241379310344827,0.0,0.017241379310344827,5.539388921633538e-232,0.0,0.024096385542168676,0.012195121951219513,1.0,1,0.0016750418760469454,0.05405405405405406,0.792496383190155,0.18133854866027832
37,2025-10-20 19:10:50,2025-10-20 19:14:42,232.90152716636658,0.0,0.0,0.0,,,73,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.04878048780487806,0.8012111186981201,0.11365014314651489
38,2025-10-20 19:14:45,2025-10-20 19:18:37,232.24308252334595,0.0,0.0,0.0,,,63,1,0.024390243902439022,0.0,0.024390243902439022,0.0,0.0,0.03125,0.015873015873015872,1.0,1,0.0024752475247524774,0.047619047619047616,0.7703710198402405,0.09843555092811584
39,2025-10-20 19:18:42,2025-10-20 19:22:34,232.15556812286377,0.0,0.0,0.0,,,61,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.05,0.7779644131660461,0.004498452413827181
40,2025-10-20 19:22:37,2025-10-20 19:26:29,232.20321893692017,0.0,0.0,0.0,,,79,1,0.018348623853211007,0.0,0.018348623853211007,0.0,0.0,0.024999999999999998,0.012658227848101266,1.0,1,0.0,0.04878048780487806,0.7760743498802185,0.032557666301727295
41,2025-10-20 19:26:33,2025-10-20 19:30:25,232.68383836746216,0.0,0.0,0.0,,,71,1,0.019801980198019802,0.0,0.019801980198019802,0.0,0.0,0.02777777777777778,0.014084507042253521,1.0,1,0.0,0.05128205128205127,0.7721432447433472,0.12281937897205353
42,2025-10-20 19:30:28,2025-10-20 19:34:21,232.80697321891785,0.0,0.0,0.0,,,58,1,0.02,0.0,0.02,5.866614974264094e-232,0.0,0.03389830508474576,0.017241379310344827,1.0,1,0.002105263157894721,0.05405405405405406,0.7702150940895081,0.15910327434539795
43,2025-10-20 19:34:28,2025-10-20 19:38:06,217.83797812461853,0.0,0.0,0.0,,,60,1,0.028985507246376812,0.0,0.028985507246376812,0.0,0.0,0.03278688524590164,0.016666666666666666,1.0,1,0.002617801047120394,0.04166666666666667,0.7748068571090698,0.05764427036046982
44,2025-10-20 19:38:12,2025-10-20 19:42:14,241.63123512268066,0.0,0.0,0.0,,,82,1,0.020618556701030924,0.0,0.020618556701030924,5.8509496409345615e-232,0.0,0.024096385542168676,0.012195121951219513,1.0,1,0.00189753320683117,0.042553191489361694,0.7779009342193604,0.15157395601272583
45,2025-10-20 19:42:21,2025-10-20 19:46:21,240.4674744606018,0.0,0.0,0.0,,,80,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.04878048780487806,0.7794979810714722,0.13335788249969482
46,2025-10-20 19:46:28,2025-10-20 19:50:28,240.10996055603027,0.0,0.0,0.0,,,68,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.047619047619047616,0.7867904901504517,0.09797711670398712
47,2025-10-20 19:50:33,2025-10-20 19:54:32,238.7511591911316,0.0,0.0,0.0,,,72,1,0.01904761904761905,0.0,0.01904761904761905,0.0,0.0,0.0273972602739726,0.013888888888888888,1.0,1,0.0018832391713747842,0.05405405405405406,0.8011080026626587,0.09440191090106964
48,2025-10-20 19:54:41,2025-10-20 19:58:41,240.02103781700134,0.0,0.0,0.0,,,68,1,0.02150537634408602,0.0,0.02150537634408602,0.0,0.0,0.028985507246376812,0.014705882352941176,1.0,1,0.0,0.05128205128205127,0.7836241126060486,0.06090850383043289
49,2025-10-20 19:58:47,2025-10-20 20:02:43,236.09967923164368,0.0,0.0,0.0,,,54,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.05405405405405406,0.7507688999176025,0.06140207126736641
50,2025-10-20 20:02:46,2025-10-20 20:06:38,232.02656745910645,0.0,0.0,0.0,,,76,1,0.020618556701030924,0.0,0.020618556701030924,0.0,0.0,0.025974025974025976,0.013157894736842105,1.0,1,0.00195694716242667,0.04545454545454545,0.7828694581985474,0.15168806910514832
